City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
88,Cape Town,ZA,2022-07-01 21:10:09,-33.9258,18.4232,64.89,65,1,8.99,clear sky
89,La Ronge,CA,2022-07-01 21:12:53,55.1001,-105.2842,59.88,39,100,2.66,overcast clouds
90,Port Alfred,ZA,2022-07-01 21:12:53,-33.5906,26.891,68.27,40,0,13.76,clear sky
91,Praia,CV,2022-07-01 21:12:54,14.9215,-23.5087,75.74,73,20,16.11,few clouds
92,Souillac,MU,2022-07-01 21:12:55,-20.5167,57.5167,69.01,79,75,18.25,light rain
93,Avarua,CK,2022-07-01 21:12:55,-21.2078,-159.775,78.85,69,20,16.11,few clouds
94,Butaritari,KI,2022-07-01 21:12:56,3.0707,172.7902,82.42,77,84,15.46,light rain
95,Matay,EG,2022-07-01 21:12:56,28.419,30.7792,85.77,32,0,10.92,clear sky
96,Guerrero Negro,MX,2022-07-01 21:09:20,27.9769,-114.0611,77.14,58,1,19.06,clear sky
97,Acoyapa,NI,2022-07-01 21:12:57,11.9703,-85.1711,77.97,87,100,13.71,overcast clouds
98,Longyearbyen,SJ,2022-07-01 21:12:54,78.2186,15.6401,42.64,93,75,6.91,broken clouds
99,Vestmannaeyjar,IS,2022-07-01 21:12:57,63.4427,-20.2734,53.71,87,29,13.09,scattered clouds
100,Talnakh,RU,2022-07-01 21:12:58,69.4865,88.3972,52.21,61,38,2.55,scattered clouds
101,Olavarria,AR,2022-07-01 21:12:58,-36.8927,-60.3225,47.01,92,100,5.64,overcast clouds
102,Bose,IT,2022-07-01 21:12:59,45.4612,8.0137,72.99,68,4,5.97,clear sky
103,Carnarvon,AU,2022-07-01 21:11:08,-24.8667,113.6333,59.86,45,0,17.07,clear sky
104,Murgab,TM,2022-07-01 21:13:00,37.4966,61.9714,85.86,19,0,10.76,clear sky
105,Lahan,NP,2022-07-01 21:13:00,26.7296,86.4951,81.03,84,97,4.99,moderate rain
106,Anloga,GH,2022-07-01 21:13:00,5.7947,0.8973,77.74,80,46,13.58,scattered clouds
107,Puerto Carreno,CO,2022-07-01 21:13:01,6.189,-67.4859,84.25,73,86,2.33,overcast clouds
108,Kargat,RU,2022-07-01 21:13:01,55.1956,80.2811,52.29,95,98,12.59,overcast clouds
109,Khatanga,RU,2022-07-01 21:13:02,71.9667,102.5,48.65,65,99,14.43,overcast clouds
110,Codrington,AU,2022-07-01 21:13:02,-38.2667,141.9667,49.3,72,100,9.35,overcast clouds
111,Amapa,BR,2022-07-01 21:13:03,1.0,-52.0,75.72,93,55,3.33,broken clouds
112,Kondinskoye,RU,2022-07-01 21:13:03,59.6481,67.41,54.28,67,100,8.95,overcast clouds
113,Qaanaaq,GL,2022-07-01 21:13:04,77.484,-69.3632,42.8,68,64,4.45,broken clouds
114,Yuncheng,CN,2022-07-01 21:13:05,35.0231,110.9928,76.5,65,100,5.59,overcast clouds
115,Ancud,CL,2022-07-01 21:13:05,-41.8697,-73.8203,43.23,66,87,8.25,overcast clouds
116,Saint George,US,2022-07-01 21:09:47,37.1041,-113.5841,103.62,16,20,11.99,few clouds
117,Urengoy,RU,2022-07-01 21:13:06,65.9667,78.3667,52.36,62,80,11.43,broken clouds
118,Tuktoyaktuk,CA,2022-07-01 21:13:06,69.4541,-133.0374,56.62,61,16,6.8,few clouds
119,Dingle,PH,2022-07-01 21:13:07,10.9995,122.6711,76.89,91,100,3.02,overcast clouds
120,Pisco,PE,2022-07-01 21:13:07,-13.7,-76.2167,65.01,77,0,9.22,clear sky
121,Sovetskiy,RU,2022-07-01 21:13:08,61.3614,63.5842,52.36,72,86,4.41,overcast clouds
122,Bentiu,SS,2022-07-01 21:13:08,9.2333,29.8333,77.0,58,98,3.27,overcast clouds
