City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
286,Tefe,BR,80.71,overcast clouds,-3.3542,-64.7114,Aracati Hotel
295,Darhan,MN,69.76,few clouds,49.4867,105.9228,Buudai Hotel
296,Santa Ines,BR,77.88,light rain,-3.6667,-45.38,Palace hotel
298,Piripiri,BR,79.47,broken clouds,-4.2733,-41.7769,Califórnia Hotel
299,Alofi,NU,78.21,broken clouds,-19.0595,-169.9187,Taloa Heights
301,Lufilufi,WS,81.79,clear sky,-13.8745,-171.5986,Leuaina Beach Resort and Spa
302,Yangambi,CD,68.79,light rain,0.8102,24.4336,
303,Lazaro Cardenas,MX,86.18,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
305,Shache,CN,83.71,overcast clouds,38.4167,77.2406,Delong Hotel
306,Sabzevar,IR,85.51,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
308,Saint-Pierre,RE,68.92,scattered clouds,-21.3393,55.4781,Alize Plage
309,Kinablangan,PH,78.87,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
310,Semirom,IR,69.94,clear sky,31.4167,51.5667,Motel Dena
311,Sao Filipe,CV,74.26,broken clouds,14.8961,-24.4956,Hotel Xaguate
314,Vanimo,PG,77.95,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
315,Anupgarh,IN,86.68,overcast clouds,29.1911,73.2086,Kushal & Vishal DTH Kappa Internet Service
316,Camaguey,CU,86.34,broken clouds,21.3808,-77.9169,Tararaco
318,Belur,IN,67.32,overcast clouds,13.1667,75.8667,Sri Vishnu Krupa Lodge
319,Shenjiamen,CN,76.23,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
320,Dao,PH,74.01,overcast clouds,11.3937,122.6856,Mr. Rolando Tolores Jr.
321,Hamilton,US,93.07,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
322,Hambantota,LK,80.87,few clouds,6.1241,81.1185,Bungalow 63
323,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
324,Fairbanks,US,81.61,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
325,Inhambane,MZ,68.02,light rain,-23.865,35.3833,Oceano
326,Cabo San Lucas,MX,93.61,clear sky,22.8909,-109.9124,Tesoro Los Cabos Hotel
328,Honiara,SB,80.38,clear sky,-9.4333,159.95,Heritage Park Hotel
332,Aklavik,CA,80.73,few clouds,68.2191,-135.0107,Aklavik Inn
333,Escanaba,US,76.51,clear sky,45.7453,-87.0646,Sunset Lodge
334,Ponta Delgada,PT,69.49,light rain,37.7333,-25.6667,Vila Nova Hotel
335,Malakal,SS,77.95,scattered clouds,9.5334,31.6605,Nile Palace Hotel
337,Sinnamary,GF,79.16,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
341,Korla,CN,79.45,broken clouds,41.7597,86.1469,Gulisitan Hotel
342,Sumbe,AO,68.49,clear sky,-11.2061,13.8437,Hotel Ritz Sumbe
343,Iranshahr,IR,93.18,few clouds,27.2025,60.6848,نیک سرشت
345,Alto Araguaia,BR,75.34,clear sky,-17.3147,-53.2153,Araguaia Palace Hotel
346,Aanekoski,FI,71.67,overcast clouds,62.6946,25.818,Tervahovi
347,Pointe Michel,DM,80.28,overcast clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
348,Soyo,AO,72.79,clear sky,-6.1349,12.3689,Hospedaria ndozi'ame
349,Unai,BR,74.35,clear sky,-16.3575,-46.9061,Hotel Regente
350,Fria,GN,73.22,overcast clouds,10.4167,-13.5833,
351,Pak Phanang,TH,79.09,light rain,8.3511,100.202,Green Park Inn Hotel
354,Saint-Marc,HT,86.31,broken clouds,19.1082,-72.6938,Maguana Hotel
359,Chapais,CA,67.33,broken clouds,49.7834,-74.8492,Hôtel Opémiska
362,Orasac,BA,69.49,clear sky,44.6289,16.0711,Guesthouse Huco & Rasema
363,Bauska,LV,71.24,overcast clouds,56.4075,24.1906,Hotel Berzkalni
364,Key West,US,93.2,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
365,Laguna,US,90.32,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
368,College,US,81.59,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
371,Yangjiang,CN,78.58,heavy intensity rain,21.85,111.9667,HUALUXE Yangjiang City Center
373,Komsomolskiy,UZ,77.83,few clouds,40.4272,71.7189,Ikathouse
374,Araceli,PH,84.42,overcast clouds,10.5529,119.9913,JBryan Traveler's Inn
375,Damoh,IN,81.1,overcast clouds,23.8333,79.45,"Saansad Niwas, Damoh"
376,Itarema,BR,77.4,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
378,Adzope,CI,71.74,light rain,6.1069,-3.8619,Hôtel AKL
380,Kirakira,SB,80.89,broken clouds,-10.4544,161.9205,SanBiz Lodge
383,Goldap,PL,70.97,clear sky,54.3063,22.3036,Hotel Ventus Natural & Medical Spa
385,Bima,ID,74.46,broken clouds,-8.4667,118.7167,Lambitu Hotel
386,Tarakan,ID,78.3,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
387,Carutapera,BR,77.97,few clouds,-1.195,-46.02,Lidera
388,Rabo De Peixe,PT,68.27,light rain,37.8,-25.5833,Quinta das Giestas
389,Awjilah,LY,85.53,clear sky,29.1081,21.2869,المنزل
390,Maragogi,BR,75.58,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
